party_id,name,abr_short,abr_long
26,,-,
21,Alþýðubandalag,Ab,Alþb.
27,Alþýðuflokkur,A,Alþfl.
31,Bandalag jafnaðarmanna,BJ,Bandj.
44,Björt framtíð,Bf,Björt fr.
33,Borgaraflokkur,B,Borgfl.
19,Borgaraflokkurinn eldri,Bo,Borgfl. eld
41,Borgarahreyfingin,Bhr,Borgarahr.
29,Bændaflokkurinn,Bæ,Bændafl.
1,Bændaflokkurinn eldri,Be,Bændafl. el
46,Flokkur fólksins,Flf,F. fólksins
3,Framfaraflokkurinn,Ff,Framffl.
2,Framsóknarflokkur,F,Framsfl.
4,Framsóknarflokkurinn eldri,Fe,Framsfl. el
32,Frjálslyndi flokkurinn,Fl,Frjálsl.
22,Frjálslyndi flokkurinn eldri,Fr,Fjálsfl.
24,Frjálslyndir vinstri menn,FV,Frjálsv.
15,Heimastjórnarflokkurinn,H,Heimastjfl.
42,Hreyfingin,Hr,Hreyf.
14,Íhaldsflokkurinn,Í,Íhaldsfl.
11,Kommúnistaflokkur Íslands,K,Kommfl.
8,Kvennalistinn eldri,Kv,Kvennal. el
10,Landvarnarflokkurinn,L,Landvfl.
47,Miðflokkurinn,M,Miðfl.
5,Óháðir bændur,Óhb,Óh. bændur
43,Píratar,P,Píratar
9,Sambandsflokkurinn,Sb,Sambfl.
18,Sameiningarflokkur alþýðu - Sósíalistaflokkurinn,SaS,Sósfl.
38,Samfylkingin,Sf,Samf.
36,Samtök frjálslyndra og vinstri manna,SF,SF
28,Samtök um jafnrétti og félagshyggju,SJF,SJF
39,Samtök um kvennalista,SK,SK
35,Sjálfstæðisflokkur,S,Sjálfstfl.
16,Sjálfstæðisflokkurinn eldri,Se,Sjálfstfl.
13,Sjálfstæðisflokkurinn langsum,Sl,Sjálfstfl.
30,Sjálfstæðisflokkurinn þversum,Sþ,Sjálfstfl.
34,Sparnaðarbandalagið,Sp,Sparbl.
17,Utan þingflokka,U,Utan þfl.
7,Utanflokkabandalagið,Ut,Uflbl.
45,Viðreisn,V,Viðreisn
23,Vinstrihreyfingin - grænt framboð,Vg,Vinstri-gr.
6,Þingflokkur frjálslyndra hægrimanna,FH,Frjálsh.
25,Þingflokkur jafnaðarmanna,JA,Jafnm.
40,Þingflokkur óháðra,Óh,Óháðir
20,Þjóðræðisflokkurinn,Þr,Þjóðrfl.
12,Þjóðvaki - hreyfing fólksins,Þ,Þjóðv.
37,Þjóðvarnarflokkurinn,Þv,Þjóðvfl.
